"samplingpoint","year","fdate","ftime","ConcIEind","ConcIE","ConcECind","ConcEC","qualitycode","abnormalweather","Date","Status","Status Comments"
"24000","2014","22/05/2014","11:55",,155,,100,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"24000","2014","25/05/2014","11:56",,82,,100,"G","No","10/10/2014","New",
"24100","2014","22/05/2014","12:10",,36,,36,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"24100","2014","25/05/2014","11:36","<",10,"<",10,"G","No","10/10/2014","New",
"24200","2014","22/05/2014","12:50",,55,,36,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"24200","2014","25/05/2014","11:16","<",10,"<",10,"G","No","10/10/2014","New",
"26400","2014","06/08/2014","11:05",,64,,173,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"26400","2014","08/08/2014","10:10","<",10,,18,"G","No","10/10/2014","New",
"26400","2014","26/08/2014","10:30",,470,,1400,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"26400","2014","27/06/2014","11:20",,27,,36,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"26400","2014","30/06/2014","11:50","<",10,"<",10,"G","No","10/10/2014","New",
"26400","2014","31/08/2014","13:52","<",10,"<",10,"G","No","10/10/2014","New",
"26500","2014","06/08/2014","11:25",,18,"<",10,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"26500","2014","08/08/2014","10:30","<",10,"<",10,"G","No","10/10/2014","New",
"26500","2014","26/08/2014","10:45",,490,,1100,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"26500","2014","27/06/2014","11:45","<",10,,18,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"26500","2014","30/06/2014","11:35","<",10,"<",10,"G","No","10/10/2014","New",
"26500","2014","31/08/2014","14:02","<",10,"<",10,"G","No","10/10/2014","New",
"26900","2014","26/08/2014","11:57",,18,,91,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"26900","2014","29/08/2014","13:46","<",10,"<",10,"G","No","10/10/2014","New",
"27000","2014","26/08/2014","10:08",,182,,118,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"27000","2014","31/08/2014","13:46","<",10,"<",10,"G","No","10/10/2014","New",
"27300","2014","23/05/2014","12:40",,18,,182,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"27300","2014","26/08/2014","11:25",,82,,250,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"27300","2014","27/05/2014","14:51","<",10,,27,"G","No","10/10/2014","New",
"27300","2014","31/08/2014","12:31","<",10,"<",10,"G","No","10/10/2014","New",
"30300","2014","25/08/2014","13:45",,36,,73,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"30300","2014","28/08/2014","14:31",,36,"<",10,"G","No","10/10/2014","New",
"32100","2014","27/06/2014","13:15",,45,,55,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"32100","2014","30/06/2014","11:00","<",10,"<",10,"G","No","10/10/2014","New",
"03600","2014","12/08/2014","10:00",,45,,136,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"03600","2014","14/08/2014","12:06",,18,,136,"I","No","10/10/2014","New",
"05700","2014","07/08/2014","10:08",,198,,260,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"05700","2014","12/08/2014","12:15","<",10,"<",10,"G","No","10/10/2014","New",
"05800","2014","07/08/2014","10:27",,290,,360,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"05800","2014","12/08/2014","12:25","<",10,"<",10,"G","No","10/10/2014","New",
"11800","2014","26/08/2014","13:10",,36,,173,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"11800","2014","28/08/2014","13:51",,18,"<",10,"G","No","10/10/2014","New",
"11830","2014","21/09/2014","10:33",,90,,240,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"11830","2014","22/09/2014","11:53",,27,,36,"G","No","10/10/2014","New",
"11830","2014","26/08/2014","13:25",,82,,360,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"11830","2014","28/08/2014","14:08",,18,,136,"I","No","10/10/2014","New",
"11850","2014","26/08/2014","13:40",,45,,440,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"11850","2014","28/08/2014","14:24",,36,,36,"G","No","10/10/2014","New",
"11902","2014","26/08/2014","13:58",,82,,450,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"11902","2014","28/08/2014","14:40","<",10,,64,"G","No","10/10/2014","New",
"11904","2014","26/08/2014","14:10",,210,,2700,"F","No","10/10/2014","Withdrawn","Record withdrawn"
"11904","2014","28/08/2014","14:56","<",10,"<",10,"G","No","10/10/2014","New",
"15300","2014","06/08/2014","13:20",,270,,118,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"15300","2014","07/08/2014","13:37",,45,"<",10,"G","No","10/10/2014","New",
"17900","2014","01/09/2014","14:32",,27,,360,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"17900","2014","02/09/2014","14:58","<",10,"<",10,"G","No","10/10/2014","New",
"17900","2014","03/09/2014","11:46","<",10,"<",10,"G","No","10/10/2014","New",
"17900","2014","26/08/2014","14:02",,620,,470,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"18100","2014","02/09/2014","14:32","<",10,"<",10,"G","No","10/10/2014","New",
"18100","2014","26/08/2014","13:30",,200,,230,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"22100","2014","29/08/2014","12:30","<",10,,55,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"22100","2014","30/08/2014","16:12","<",10,"<",10,"G","No","10/10/2014","New",
"23800","2014","22/05/2014","10:40",,480,,182,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"23800","2014","25/05/2014","12:21",,18,,18,"G","No","10/10/2014","New",
"34700","2014","11/06/2014","12:30",,210,,520,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"34700","2014","13/06/2014","10:40","<",10,"<",10,"G","No","10/10/2014","New",
"35700","2014","09/07/2014","16:14",,55,,100,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"35700","2014","11/07/2014","18:03",,45,,18,"G","No","10/10/2014","New",
"41500","2014","22/08/2014","10:30",,90,,540,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"41500","2014","26/08/2014","12:11",,18,,45,"G","No","10/10/2014","New",
"41800","2014","11/06/2014","10:50",,18,,27,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"41800","2014","11/09/2014","14:10",,145,,127,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"41800","2014","13/06/2014","12:06","<",10,,45,"G","No","10/10/2014","New",
"41800","2014","13/08/2014","14:35",,680,,873,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"41800","2014","16/09/2014","16:46","<",10,"<",10,"G","No","10/10/2014","New",
"41800","2014","20/08/2014","08:01",,82,,118,"I","No","10/10/2014","New",
"41900","2014","11/09/2014","13:55",,100,,91,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"41900","2014","13/08/2014","14:20",,140,,700,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"41900","2014","16/09/2014","16:31",,18,"<",10,"G","No","10/10/2014","New",
"41900","2014","20/08/2014","08:21",,136,,109,"I","No","10/10/2014","New",
"42600","2014","01/08/2014","11:30",,100,,91,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"42600","2014","04/08/2014","13:45","<",10,,36,"G","No","10/10/2014","New",
"42600","2014","06/07/2014","11:40","<",10,,18,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"42600","2014","09/07/2014","12:51","<",10,"<",10,"G","No","10/10/2014","New",
"44200","2014","12/08/2014","12:30",,100,,873,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"44200","2014","12/09/2014","12:35",,36,"<",10,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"44200","2014","14/08/2014","13:15",,145,,520,"I","No","10/10/2014","New",
"44200","2014","19/09/2014","10:26","<",10,"<",10,"G","No","10/10/2014","New",
"44800","2014","12/09/2014","12:48",,99,,460,"I","No","10/10/2014","Withdrawn","Record withdrawn"
"44800","2014","19/09/2014","09:01","<",10,,109,"I","No","10/10/2014","New",
"45920","2014","10/06/2014","12:10",,27,,27,"G","No","10/10/2014","Withdrawn","Record withdrawn"
"45920","2014","11/06/2014","11:55",,18,,27,"G","No","10/10/2014","New",
